lot_id,opened_at,date,market,home_team,away_team,predicted_winner,model_prob,contracts_open,contracts_original,avg_entry_price,entry_fee_total,entry_cost_total,realized_cash,realized_exit_fees,realized_profit,status,last_mark_price,notes
1,2026-03-20 02:27:42,2026-03-20,Atlanta Hawks at Houston Rockets,Houston Rockets,Atlanta Hawks,Atlanta Hawks,0.6061,0,2,0.42,0.04,0.88,0.0,0.0,-0.88,settled,0.42,Model 60.6% | auto-resolved: Atlanta Hawks LOST (final score)
2,2026-03-20 02:28:21,2026-03-20,Portland Trail Blazers at Minnesota Timberwolves,Minnesota Timberwolves,Portland Trail Blazers,Minnesota Timberwolves,0.682,0,1,0.6,0.02,0.62,0.0,0.0,-0.62,settled,0.6,Model 68.2% | auto-resolved: Minnesota Timberwolves LOST (final score)
3,2026-03-20 02:30:04,2026-03-20,Golden State Warriors at Detroit Pistons,Detroit Pistons,Golden State Warriors,Detroit Pistons,0.8778,0,1,0.72,0.02,0.74,1.0,0.0,0.26,settled,0.72,Model 87.8% | auto-resolved: Detroit Pistons WON (final score)
4,2026-03-20 21:43:41,2026-03-20,Los Angeles Lakers @ Orlando Magic,Orlando Magic,Los Angeles Lakers,Los Angeles Lakers,0.6625,0,1,0.61,0.02,0.63,1.0,0.0,0.37,settled,0.61,Model 66.3% — Los Angeles Lakers | auto-resolved: Los Angeles Lakers WON (final score)
5,2026-03-21 10:59:38,2026-03-21,Miami Heat @ Houston Rockets,Houston Rockets,Miami Heat,Houston Rockets,0.5468,0,1,0.56,0.02,0.58,1.0,0.0,0.42,settled,0.56,Model 54.7% — Houston Rockets | auto-resolved: Houston Rockets WON (final score)
6,2026-03-21 13:36:34,2026-03-21,Cleveland Cavaliers @ New Orleans Pelicans,New Orleans Pelicans,Cleveland Cavaliers,Cleveland Cavaliers,0.7135,0,1,0.65,0.02,0.67,1.0,0.0,0.33,settled,0.65,Model 71.3% — Cleveland Cavaliers | auto-resolved: Cleveland Cavaliers WON (final score)
7,2026-03-21 13:38:16,2026-03-21,Philadelphia 76ers @ Utah Jazz,Utah Jazz,Philadelphia 76ers,Philadelphia 76ers,0.749,0,1,0.68,0.02,0.7,1.0,0.0,0.3,settled,0.68,Model 74.9% — Philadelphia 76ers | auto-resolved: Philadelphia 76ers WON (final score)
8,2026-03-21 22:56:16,2026-03-21,Milwaukee Bucks @ Phoenix Suns,Phoenix Suns,Milwaukee Bucks,Phoenix Suns,0.7848,0,1,0.7,0.02,0.72,0.0,0.0,-0.72,settled,0.7,Model 78.5% — Phoenix Suns | auto-resolved: Phoenix Suns LOST (final score)
9,2026-03-21 23:33:07,2026-03-21,Los Angeles Lakers @ Detroit Pistons,Detroit Pistons,Los Angeles Lakers,Detroit Pistons,0.6053,0,1,0.53,0.02,0.55,1.0,0.0,0.45,settled,0.53,Model 60.5% — Detroit Pistons | manually resolved: Detroit Pistons WIN
10,2026-03-21 23:34:09,2026-03-21,Toronto Raptors @ Phoenix Suns,Phoenix Suns,Toronto Raptors,Phoenix Suns,0.5661,0,2,0.47,0.04,0.98,2.0,0.0,1.02,settled,0.47,Model 56.6% — Phoenix Suns | manually resolved: Phoenix Suns WIN
11,2026-03-21 23:37:23,2026-03-21,Golden State Warriors @ Dallas Mavericks,Dallas Mavericks,Golden State Warriors,Golden State Warriors,0.661,0,1,0.59,0.02,0.61,1.0,0.0,0.39,settled,0.59,Model 66.1% — Golden State Warriors | manually resolved: Golden State Warriors WIN
