k,home_adv,player_boost,rest_factor,travel_factor,pace_factor,playoff_hca_factor,sos_factor,form_weight,accuracy,log_loss,brier,score
8,15,0,0,0,0,0.4,0,0,66.93840579710145,0.6171036109149554,0.2139107008262908,-6.799416340661128
8,15,0,0,0,0,0.4,0,5,66.93840579710145,0.6168127261725523,0.21379138046437748,-6.792316448245372
8,15,0,0,0,0,0.4,10,0,66.84782608695652,0.6172199720973003,0.21399236871466892,-6.812671916669508
8,15,0,0,0,0,0.4,10,5,66.93840579710145,0.6169228662481658,0.21387012244756068,-6.796347248177608
8,15,0,0,0,0,0.4,25,0,66.48550724637681,0.6175477957998777,0.21418780496497336,-6.859343840360273
8,15,0,0,0,0,0.4,25,5,66.57608695652173,0.617241081437313,0.21406086179818257,-6.842754427773633
8,15,0,0,0,0,0.7,0,0,66.93840579710145,0.6171036109149554,0.2139107008262908,-6.799416340661128
8,15,0,0,0,0,0.7,0,5,66.93840579710145,0.6168127261725523,0.21379138046437748,-6.792316448245372
8,15,0,0,0,0,0.7,10,0,66.84782608695652,0.6172199720973003,0.21399236871466892,-6.812671916669508
8,15,0,0,0,0,0.7,10,5,66.93840579710145,0.6169228662481658,0.21387012244756068,-6.796347248177608
8,15,0,0,0,0,0.7,25,0,66.48550724637681,0.6175477957998777,0.21418780496497336,-6.859343840360273
8,15,0,0,0,0,0.7,25,5,66.57608695652173,0.617241081437313,0.21406086179818257,-6.842754427773633
8,15,0,0,0,0,1.0,0,0,66.93840579710145,0.6171036109149554,0.2139107008262908,-6.799416340661128
8,15,0,0,0,0,1.0,0,5,66.93840579710145,0.6168127261725523,0.21379138046437748,-6.792316448245372
8,15,0,0,0,0,1.0,10,0,66.84782608695652,0.6172199720973003,0.21399236871466892,-6.812671916669508
8,15,0,0,0,0,1.0,10,5,66.93840579710145,0.6169228662481658,0.21387012244756068,-6.796347248177608
8,15,0,0,0,0,1.0,25,0,66.48550724637681,0.6175477957998777,0.21418780496497336,-6.859343840360273
8,15,0,0,0,0,1.0,25,5,66.57608695652173,0.617241081437313,0.21406086179818257,-6.842754427773633
8,15,0,0,0,15,0.4,0,0,67.11956521739131,0.614008653844345,0.21257068737177845,-6.702940203886766
8,15,0,0,0,15,0.4,0,5,67.02898550724638,0.6137465628955463,0.21246389584211609,-6.705629786124375
8,15,0,0,0,15,0.4,10,0,66.7572463768116,0.614125486640571,0.21265250399202928,-6.743379415124579
8,15,0,0,0,15,0.4,10,5,66.84782608695652,0.6138571784028349,0.21254279881734556,-6.727786771220849
8,15,0,0,0,15,0.4,25,0,66.84782608695652,0.6144525429545981,0.21284649648317047,-6.744697594267951
8,15,0,0,0,15,0.4,25,5,66.93840579710145,0.6141746326139783,0.2127321191209606,-6.728841246040106
8,15,0,0,0,15,0.7,0,0,67.11956521739131,0.614008653844345,0.21257068737177845,-6.702940203886766
8,15,0,0,0,15,0.7,0,5,67.02898550724638,0.6137465628955463,0.21246389584211609,-6.705629786124375
8,15,0,0,0,15,0.7,10,0,66.7572463768116,0.614125486640571,0.21265250399202928,-6.743379415124579
8,15,0,0,0,15,0.7,10,5,66.84782608695652,0.6138571784028349,0.21254279881734556,-6.727786771220849
8,15,0,0,0,15,0.7,25,0,66.84782608695652,0.6144525429545981,0.21284649648317047,-6.744697594267951
8,15,0,0,0,15,0.7,25,5,66.93840579710145,0.6141746326139783,0.2127321191209606,-6.728841246040106
8,15,0,0,0,15,1.0,0,0,67.11956521739131,0.614008653844345,0.21257068737177845,-6.702940203886766
8,15,0,0,0,15,1.0,0,5,67.02898550724638,0.6137465628955463,0.21246389584211609,-6.705629786124375
8,15,0,0,0,15,1.0,10,0,66.7572463768116,0.614125486640571,0.21265250399202928,-6.743379415124579
8,15,0,0,0,15,1.0,10,5,66.84782608695652,0.6138571784028349,0.21254279881734556,-6.727786771220849
8,15,0,0,0,15,1.0,25,0,66.84782608695652,0.6144525429545981,0.21284649648317047,-6.744697594267951
