k,home_adv,player_boost,rest_factor,travel_factor,pace_factor,playoff_hca_factor,sos_factor,form_weight,accuracy,log_loss,brier,score
8,15,0,0,0,0,0.4,0,0,63.68421052631579,0.6461732711740757,0.22718832874964226,-7.888498266746717
8,15,0,0,0,0,0.4,0,5,64.03508771929825,0.6450849287675089,0.2266777105485102,-7.824279080150653
8,15,0,0,0,0,0.4,10,0,64.03508771929825,0.6472670356268361,0.22770691158331918,-7.88290397641763
8,15,0,0,0,0,0.4,10,5,63.859649122807014,0.6461712039156823,0.22719247626510314,-7.871103769648883
8,15,0,0,0,0,0.4,25,0,63.50877192982456,0.649036997617615,0.22854617641924374,-7.983265844728215
8,15,0,0,0,0,0.4,25,5,63.1578947368421,0.6479297494112297,0.22802598141245628,-7.988687778103879
8,15,0,0,0,0,0.7,0,0,63.50877192982456,0.6458803045936492,0.22704527266825864,-7.897976150497082
8,15,0,0,0,0,0.7,0,5,63.859649122807014,0.6447933030892273,0.22653551541739103,-7.83380212912876
8,15,0,0,0,0,0.7,10,0,64.21052631578948,0.6469729237567814,0.22756263086734516,-7.857235993169109
8,15,0,0,0,0,0.7,10,5,64.03508771929825,0.6458784344838914,0.22704905327898253,-7.845480835100606
8,15,0,0,0,0,0.7,25,0,63.859649122807014,0.6487411452093971,0.2284001131372797,-7.9399687748856635
8,15,0,0,0,0,0.7,25,5,63.50877192982456,0.6476352416587783,0.22788077078011626,-7.94543557149242
8,15,0,0,0,0,1.0,0,0,63.68421052631579,0.6456024586462018,0.22690923250347234,-7.872767916676928
8,15,0,0,0,0,1.0,0,5,64.03508771929825,0.644516777771096,0.2264003158158651,-7.808638082873546
8,15,0,0,0,0,1.0,10,0,64.03508771929825,0.6466939295824988,0.22742534858637928,-7.867056608185337
8,15,0,0,0,0,1.0,10,5,63.859649122807014,0.6456007627124489,0.2269126087244826,-7.855345538398193
8,15,0,0,0,0,1.0,25,0,63.859649122807014,0.6484604020200273,0.22826101467731938,-7.932158890972291
8,15,0,0,0,0,1.0,25,5,63.50877192982456,0.6473558234508455,0.2277425055432984,-7.937669616356245
8,15,0,0,0,15,0.4,0,0,63.33333333333333,0.6480095272868591,0.22803948477478864,-7.972322275953085
8,15,0,0,0,15,0.4,0,5,63.1578947368421,0.6469042729609213,0.22751965583126443,-7.9602309432537375
8,15,0,0,0,15,0.4,10,0,63.859649122807014,0.6490679096660522,0.22854189715399195,-7.948254251207395
8,15,0,0,0,15,0.4,10,5,63.50877192982456,0.6479552604688885,0.22801838509160766,-7.953500294432957
8,15,0,0,0,15,0.4,25,0,62.98245614035088,0.6507849566344589,0.22935703965690873,-8.08231562531693
8,15,0,0,0,15,0.4,25,5,62.807017543859644,0.6496610371985083,0.2288279769902025,-8.0697056228102
8,15,0,0,0,15,0.7,0,0,63.50877192982456,0.647718630712366,0.2278962074184033,-7.946720149452605
8,15,0,0,0,15,0.7,0,5,63.33333333333333,0.6466147044474723,0.2273772392905811,-7.9346738738696905
8,15,0,0,0,15,0.7,10,0,63.859649122807014,0.6487758804208206,0.228397385384498,-7.940137546465783
8,15,0,0,0,15,0.7,10,5,63.68421052631579,0.6476645606829338,0.22787473013654222,-7.92788463829358
8,15,0,0,0,15,0.7,25,0,63.1578947368421,0.6504912087447043,0.2292107370222766,-8.056569677164488
8,15,0,0,0,15,0.7,25,5,63.1578947368421,0.649368620794139,0.22868252496288125,-8.026460491184151
8,15,0,0,0,15,1.0,0,0,63.50877192982456,0.6474429430711202,0.22776001925726577,-7.9390671218771365
8,15,0,0,0,15,1.0,0,5,63.50877192982456,0.6463403246395275,0.22724189026877978,-7.909521014884954
8,15,0,0,0,15,1.0,10,0,63.859649122807014,0.6484990565259722,0.22825994330917776,-7.932425272294186
8,15,0,0,0,15,1.0,10,5,63.68421052631579,0.6473890462572085,0.22773812355237555,-7.92021625952111
8,15,0,0,0,15,1.0,25,0,62.98245614035088,0.6502126567716676,0.22907146759464317,-8.066314343923978
8,15,0,0,0,15,1.0,25,5,62.98245614035088,0.6490913806773548,0.22854408535289245,-8.036248845499447
8,15,0,0,0,35,0.4,0,0,62.4561403508772,0.6527175110564993,0.2302791421092449,-8.187291737734071
8,15,0,0,0,35,0.4,0,5,62.4561403508772,0.6515865191894298,0.2297449570668479,-8.156876401101634
8,15,0,0,0,35,0.4,10,0,62.28070175438597,0.6537276752464802,0.23075533650204727,-8.231964686615136
8,15,0,0,0,35,0.4,10,5,62.63157894736842,0.652589438694755,0.2302176951914811,-8.166265422480443
8,15,0,0,0,35,0.4,25,0,62.28070175438597,0.6553720456044311,0.23153032300235546,-8.276119109491068
8,15,0,0,0,35,0.4,25,5,62.4561403508772,0.6542227728109101,0.23098748677730577,-8.227667618491793
8,15,0,0,0,35,0.7,0,0,62.4561403508772,0.6524290836741155,0.2301361972589515,-8.179266524663266
8,15,0,0,0,35,0.7,0,5,62.4561403508772,0.6512993992501319,0.2296028595741985,-8.148895541881274
8,15,0,0,0,35,0.7,10,0,62.28070175438597,0.6534381431825225,0.2306111715723852,-8.223881832916991
8,15,0,0,0,35,0.7,10,5,62.63157894736842,0.6523012153074215,0.23007437286899227,-8.15822674248222
8,15,0,0,0,35,0.7,25,0,62.28070175438597,0.6550808404861681,0.23138439303092428,-8.267952269687719
8,15,0,0,0,35,0.7,25,5,62.63157894736842,0.6539328781842095,0.2308423922006848,-8.202000818764226
8,15,0,0,0,35,1.0,0,0,62.4561403508772,0.6521558996682366,0.23000029334600186,-8.171644896098247
8,15,0,0,0,35,1.0,0,5,62.4561403508772,0.6510275028645676,0.22946778049366107,-8.141317207575263
8,15,0,0,0,35,1.0,10,0,62.28070175438597,0.653163850181531,0.2304740267241293,-8.216201694978823
8,15,0,0,0,35,1.0,10,5,62.63157894736842,0.6520282113924326,0.22993804839905949,-8.150589732364999
8,15,0,0,0,35,1.0,25,0,62.4561403508772,0.6548048640167891,0.2312454451541572,-8.242642683212882
8,15,0,0,0,35,1.0,25,5,62.63157894736842,0.6536581929679934,0.23070425794234317,-8.194277966700833
8,15,0,0,15,0,0.4,0,0,62.63157894736842,0.6517896893298488,0.22978882356543628,-8.1427125625194
8,15,0,0,15,0,0.4,0,5,63.1578947368421,0.6506844202506628,0.22926793067583595,-8.06040311535453
8,15,0,0,15,0,0.4,10,0,62.98245614035088,0.6528872524463775,0.2302979064966699,-8.136768665402727
