k,home_adv,player_boost,rest_factor,travel_factor,pace_factor,playoff_hca_factor,sos_factor,form_weight,accuracy,log_loss,brier,score
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7391,15.0863,5.923,56.6832504145937,0.6809472109483891,0.24395647740622214,-9.537511742376628
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7391,15.0863,6.923,56.6832504145937,0.6809473320264112,0.24395675666241348,-9.53752388124846
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7391,15.0863,7.923,56.749585406301826,0.6809478871110909,0.24395725007627123,-9.530914559309394
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7391,16.5863,5.923,56.782752902155885,0.6809496060107451,0.2439575227335673,-9.527622467213064
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7391,16.5863,6.923,56.749585406301826,0.6809497012524969,0.2439577895006071,-9.530950649414077
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7391,16.5863,7.923,56.749585406301826,0.6809502305057707,0.24395827042693222,-9.530974120493273
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7391,18.0863,5.923,56.782752902155885,0.6809521871181915,0.24395865850609227,-9.527688546973636
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7391,18.0863,6.923,56.749585406301826,0.680952256510356,0.24395891276544385,-9.531016022070418
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7391,18.0863,7.923,56.71641791044776,0.6809527599187463,0.24395938118538968,-9.534355535720781
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7691,15.0863,5.923,56.71641791044776,0.6809377062166326,0.243951839263796,-9.533933429240125
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7691,15.0863,6.923,56.71641791044776,0.6809378278520855,0.2439521189902787,-9.533945591383056
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7691,15.0863,7.923,56.782752902155885,0.6809383834877856,0.24395261287137682,-9.527336292541769
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7691,16.5863,5.923,56.782752902155885,0.6809401016508898,0.24395288467512471,-9.527360909996517
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7691,16.5863,6.923,56.782752902155885,0.6809401974499797,0.24395315191116992,-9.527372365831045
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7691,16.5863,7.923,56.782752902155885,0.6809407272541791,0.2439536333034448,-9.527395859955636
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7691,18.0863,5.923,56.782752902155885,0.6809426831281965,0.2439540205306229,-9.527426996034901
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7691,18.0863,6.923,56.749585406301826,0.6809427530776069,0.24395427525769378,-9.530754494298424
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7691,18.0863,7.923,56.749585406301826,0.6809432570368288,0.24395474414229876,-9.530777281356398
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7991,15.0863,5.923,56.71641791044776,0.6809285569682737,0.243947377217998,-9.533681753421334
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7991,15.0863,6.923,56.71641791044776,0.6809286791519176,0.2439476573993225,-9.533693938143465
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7991,15.0863,7.923,56.782752902155885,0.680929235329152,0.24394815173172682,-9.5270846616867
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7991,16.5863,5.923,56.81592039800994,0.6809309527753754,0.2439484227205176,-9.523792491222713
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7991,16.5863,6.923,56.782752902155885,0.6809310491225716,0.24394869041013226,-9.527120719170277
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7991,16.5863,7.923,56.782752902155885,0.6809315794682189,0.24394917225243656,-9.527144235627624
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7991,18.0863,5.923,56.81592039800994,0.6809335346234199,0.24394955866606705,-9.523858583829044
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7991,18.0863,6.923,56.782752902155885,0.6809336051208528,0.2439498138454351,-9.527186104568639
3.0,25.3165,14.856,12.6871,0.0,24.4938,0.7991,18.0863,7.923,56.749585406301826,0.6809341096214362,0.2439502831787924,-9.530525663493002
